site_id,vegetation_type,metadata_source
US-BZL,WET,ameriflux_site_search
US-BZO,WET,ameriflux_site_search
US-BZS,ENF,ameriflux_site_search
US-CAK,GRA,ameriflux_site_search
US-CAV,GRA,ameriflux_site_search
US-CC1,CRO,ameriflux_site_search
US-CC2,CRO,ameriflux_site_search
US-CDM,WSA,ameriflux_site_search
US-CED,CSH,ameriflux_site_search
US-CF1,CRO,ameriflux_site_search
US-CF2,CRO,ameriflux_site_search
US-CF3,CRO,ameriflux_site_search
US-CF4,CRO,ameriflux_site_search
US-CGG,GRA,ameriflux_site_search
US-CHR,DBF,ameriflux_site_search
US-CLF,CVM,ameriflux_site_search
US-CLN,CRO,ameriflux_site_search
US-CLS,CRO,ameriflux_site_search
US-CMS,WET,ameriflux_site_search
US-CMW,DBF,ameriflux_site_search
US-CN1,GRA,ameriflux_site_search
US-CN2,GRA,ameriflux_site_search
US-COP,GRA,ameriflux_site_search
US-CPF,ENF,ameriflux_site_search
US-CPK,ENF,ameriflux_site_search
US-CRE,CRO,ameriflux_site_search
US-CRK,ENF,ameriflux_site_search
US-CRT,CRO,ameriflux_site_search
US-CRW,CRO,ameriflux_site_search
US-CS1,CRO,ameriflux_site_search
US-CS2,ENF,ameriflux_site_search
US-CS3,CRO,ameriflux_site_search
US-CS4,CRO,ameriflux_site_search
US-CS5,CRO,ameriflux_site_search
US-CS6,CRO,ameriflux_site_search
US-CS7,ENF,ameriflux_site_search
US-CS8,CRO,ameriflux_site_search
US-CST,ENF,ameriflux_site_search
US-CTN,GRA,ameriflux_site_search
US-CU1,URB,ameriflux_site_search
US-CU2,URB,ameriflux_site_search
US-CU3,URB,ameriflux_site_search
US-CU4,OSH,ameriflux_site_search
US-CWG,GRA,ameriflux_site_search
US-CWT,DBF,ameriflux_site_search
US-CX1,GRA,ameriflux_site_search
US-CX2,GRA,ameriflux_site_search
US-CZ1,SAV,ameriflux_site_search
US-CZ2,ENF,ameriflux_site_search
US-CZ3,ENF,ameriflux_site_search
US-CZ4,ENF,ameriflux_site_search
US-DBK,URB,ameriflux_site_search
US-DCS,WET,ameriflux_site_search
US-DEA,CRO,ameriflux_site_search
US-DEU,URB,ameriflux_site_search
US-DFC,CRO,ameriflux_site_search
US-DFK,CRO,ameriflux_site_search
