site_id,site_code,site_name,country_code,country,latitude,longitude,source_network,source_system,source_files,source_count,in_explorer,has_accessible_data,known_site_only,needs_manual_review,review_reason
SJP,SJP,Simotsuma Japanese pear orchard,,,36.211361,139.947389,Site metadata,explorer_repo_metadata,24.explorerDocs/FluxSite_List_Pingyu.xlsx#Sheet1; 24.explorerDocs/allSites.xlsx#Sheet1; 24.explorerDocs/originals/FluxSite_List_Pingyu.xlsx#Sheet1; 24.explorerDocs/sites_not_in_explorer.csv; 24.explorerDocs/unique_flux_sites.csv; assets/site_name_metadata.csv,6,false,false,true,true,country_code could not be inferred confidently
SK-Ta1,Ta1,Tatra Jamy,SK,Slovakia,49.158333,20.261111,CarboEuropeIP,explorer_accessible,24.explorerDocs/EFDC_SitesList.csv; 24.explorerDocs/Towers_Stoy.csv; 24.explorerDocs/originals/Towers_Stoy.csv; 24.explorerDocs/sites_not_in_explorer.csv; 24.explorerDocs/unique_flux_sites.csv; assets/efd_curated_sites_snapshot.csv; assets/efd_sites_snapshot.csv,7,true,true,false,false,
SK-Ta2,Ta2,Tatra Vysne Hagy,SK,Slovakia,49.126389,20.107778,CarboEuropeIP,explorer_accessible,24.explorerDocs/EFDC_SitesList.csv; 24.explorerDocs/Towers_Stoy.csv; 24.explorerDocs/originals/Towers_Stoy.csv; 24.explorerDocs/sites_not_in_explorer.csv; 24.explorerDocs/unique_flux_sites.csv; assets/efd_curated_sites_snapshot.csv; assets/efd_sites_snapshot.csv,7,true,true,false,false,
SK-Tat,Tat,Tatra Danielov Dom,SK,Slovakia,49.120778,20.1635,CarboEuropeIP,explorer_accessible,24.explorerDocs/EFDC_SitesList.csv; 24.explorerDocs/Towers_Stoy.csv; 24.explorerDocs/originals/Towers_Stoy.csv; 24.explorerDocs/sites_not_in_explorer.csv; 24.explorerDocs/unique_flux_sites.csv; assets/efd_curated_sites_snapshot.csv; assets/efd_sites_snapshot.csv,7,true,true,false,false,
SKR,SKR,Sakaerat,,,14.492361,101.916306,Site metadata,explorer_repo_metadata,24.explorerDocs/FluxSite_List_Pingyu.xlsx#Sheet1; 24.explorerDocs/allSites.xlsx#Sheet1; 24.explorerDocs/originals/FluxSite_List_Pingyu.xlsx#Sheet1; 24.explorerDocs/sites_not_in_explorer.csv; 24.explorerDocs/unique_flux_sites.csv; assets/site_name_metadata.csv,6,false,false,true,true,country_code could not be inferred confidently
SKT,SKT,Southern Khentei Taiga,,,48.351861,108.654333,Site metadata,explorer_repo_metadata,24.explorerDocs/FluxSite_List_Pingyu.xlsx#Sheet1; 24.explorerDocs/allSites.xlsx#Sheet1; 24.explorerDocs/originals/FluxSite_List_Pingyu.xlsx#Sheet1; 24.explorerDocs/sites_not_in_explorer.csv; 24.explorerDocs/unique_flux_sites.csv; assets/site_name_metadata.csv,6,false,false,true,true,country_code could not be inferred confidently; multiple possible candidate merges were observed: MN-Skt
SMF,SMF,Seto Mixed Forest Site,,,35.261663,137.0786,Site metadata,explorer_repo_metadata,24.explorerDocs/FluxSite_List_Pingyu.xlsx#Sheet1; 24.explorerDocs/allSites.xlsx#Sheet1; 24.explorerDocs/originals/FluxSite_List_Pingyu.xlsx#Sheet1; 24.explorerDocs/sites_not_in_explorer.csv; 24.explorerDocs/unique_flux_sites.csv; assets/site_name_metadata.csv,6,false,false,true,true,country_code could not be inferred confidently; multiple possible candidate merges were observed: JP-SMF
SMK,SMK,KoFlux Seolmacheon site,,,37.93885,126.9547,Site metadata,explorer_repo_metadata,24.explorerDocs/FluxSite_List_Pingyu.xlsx#Sheet1; 24.explorerDocs/allSites.xlsx#Sheet1; 24.explorerDocs/originals/FluxSite_List_Pingyu.xlsx#Sheet1; 24.explorerDocs/sites_not_in_explorer.csv; 24.explorerDocs/unique_flux_sites.csv; assets/site_name_metadata.csv,6,false,false,true,true,country_code could not be inferred confidently
SN-Dhr,Dhr,Dahra,SN,Senegal,15.40256,-15.43214,CarboAfrica;European Fluxes Database;GHG-Europe,explorer_accessible,24.explorerDocs/EFDC_SitesList.csv; 24.explorerDocs/FluxSite_List_Pingyu.xlsx#Sheet1; 24.explorerDocs/Towers_Stoy.csv; 24.explorerDocs/allSites.xlsx#Sheet1; 24.explorerDocs/explorerSiteList_032026.xlsx#Sheet1; 24.explorerDocs/originals/FluxSite_List_Pingyu.xlsx#Sheet1; 24.explorerDocs/originals/Towers_Stoy.csv; 24.explorerDocs/unique_flux_sites.csv; assets/efd_curated_sites_snapshot.csv; assets/efd_sites_snapshot.csv; assets/icos_direct_fluxnet.csv; assets/shuttle_snapshot.csv; assets/site_name_metadata.csv; assets/site_vegetation_metadata.csv; assets/siteinfo_fluxnet2015.csv,15,true,true,false,false,
SN-Nkr,Nkr,Niakhar,SN,Senegal,14.49581,-16.45357,European Fluxes Database,explorer_accessible,24.explorerDocs/EFDC_SitesList.csv; 24.explorerDocs/FluxSite_List_Pingyu.xlsx#Sheet1; 24.explorerDocs/Towers_Stoy.csv; 24.explorerDocs/allSites.xlsx#Sheet1; 24.explorerDocs/explorerSiteList_032026.xlsx#Sheet1; 24.explorerDocs/originals/FluxSite_List_Pingyu.xlsx#Sheet1; 24.explorerDocs/originals/Towers_Stoy.csv; 24.explorerDocs/unique_flux_sites.csv; assets/efd_curated_sites_snapshot.csv; assets/efd_sites_snapshot.csv; assets/icos_direct_fluxnet.csv; assets/shuttle_snapshot.csv; assets/site_name_metadata.csv,13,true,true,false,false,
